auction_id,national_id,total_auctions_participated,total_auctions_won,total_bids_history,historical_win_rate,bids_to_wins_ratio,starting_price,final_price,minimum_bid_increment,auction_duration_minutes,number_of_unique_bidders,total_bids_in_auction,bids_count_in_auction,bid_share_in_auction,avg_seconds_between_bids,first_bid_time_from_start_minutes,last_bid_time_to_end_minutes,used_minimum_increment_ratio,bid_increment_avg,aggressive_bidding_flag,early_entry_flag,late_exit_flag,won_auction_flag,suspicious_score_generation,suspicious_label
AUC_1032,1242007912,30,9,149,0.3,16.5556,1979305,2387149,2000,120,19,254,3,0.0118,154.28,77.71,14.97,0.3416,5746.59,0,0,0,0,0.134,0
AUC_1176,1310676406,69,3,1142,0.0435,380.6667,464568,643053,2000,180,5,61,31,0.5082,15.42,5.4,0.96,0.9334,4033.14,1,1,1,0,0.99,1
AUC_1378,1346864996,89,28,1017,0.3146,36.3214,991218,1331221,20000,240,7,28,17,0.6071,362.73,130.57,83.86,0.5773,41304.57,0,0,0,0,0.5007,0
AUC_1364,1530683352,109,2,1128,0.0183,564.0,76790,93200,5000,180,24,408,43,0.1054,65.2,0.72,16.87,0.6697,5475.27,1,1,1,0,0.8108,0
AUC_1116,2945443223,19,0,154,0.0,154.0,67640,74404,2000,30,17,189,7,0.037,283.73,26.72,0.25,0.3045,5801.65,0,0,1,1,0.1416,0
AUC_1027,2483508043,35,5,151,0.1429,30.2,132844,148687,1000,120,18,154,3,0.0195,903.78,62.57,45.6,0.5197,4058.01,0,0,0,0,0.1253,0
AUC_1097,1204650445,78,18,300,0.2308,16.6667,250244,261369,20000,240,7,45,6,0.1333,230.22,102.6,41.22,0.4834,29145.71,0,0,0,1,0.2568,0
AUC_1258,1105480644,78,36,971,0.4615,26.9722,365826,414167,20000,120,13,104,11,0.1058,327.56,49.66,27.7,0.241,56319.85,0,0,0,0,0.0268,0
AUC_1033,2412866573,107,44,381,0.4112,8.6591,1313455,1555679,5000,60,5,22,15,0.6818,158.49,32.05,9.07,0.3564,5397.56,0,0,0,0,0.3032,0
AUC_1072,2885709307,70,5,1085,0.0714,217.0,1617438,1936793,5000,180,22,281,37,0.1317,51.56,32.42,1.35,0.6561,5665.58,1,0,1,0,0.8224,0
AUC_1027,2680659803,32,2,483,0.0625,241.5,517010,617240,5000,120,12,211,29,0.1374,68.42,16.73,8.45,0.8145,6893.86,1,0,1,0,0.6997,1
AUC_1288,1545563768,40,5,299,0.125,59.8,806254,930122,5000,60,21,244,5,0.0205,52.12,56.1,5.3,0.5476,13208.61,0,0,1,1,0.2564,0
AUC_1112,2095432051,6,0,51,0.0,51.0,1710822,1912357,5000,120,7,48,3,0.0625,85.15,52.0,0.06,0.2142,9731.66,0,0,1,0,0.1577,1
AUC_1375,1812207578,19,2,115,0.1053,57.5,923172,1067911,1000,180,5,47,4,0.0851,461.49,90.01,94.62,0.3034,3555.48,0,0,0,1,0.0772,0
AUC_1103,1625526279,30,6,214,0.2,35.6667,956862,1105520,5000,60,17,43,4,0.093,1197.51,38.37,32.33,0.4504,8361.61,0,0,0,0,0.074,0
AUC_1364,2377431223,25,12,112,0.48,9.3333,1753194,2108001,2000,120,13,136,11,0.0809,236.37,36.04,45.6,0.269,4931.15,0,0,0,0,0.0385,0
AUC_1295,1560449356,15,4,76,0.2667,19.0,1267078,1570772,2000,240,24,137,9,0.0657,923.79,41.94,139.99,0.3717,3154.16,0,0,0,0,0.1867,0
AUC_1363,1257863547,99,18,1145,0.1818,63.6111,1889765,2115133,2000,90,13,166,9,0.0542,261.96,32.6,31.23,0.4408,2922.31,0,0,0,0,0.1269,0
AUC_1143,2210211501,43,11,259,0.2558,23.5455,1950163,2055008,1000,120,21,49,15,0.3061,179.13,50.23,21.04,0.2114,1390.38,0,0,0,1,0.0872,0
AUC_1053,1422071277,21,5,96,0.2381,19.2,955667,1131874,20000,180,18,223,2,0.009,134.04,13.08,47.58,0.1119,35974.74,0,1,0,0,0.1632,0
AUC_1019,1458142395,23,7,159,0.3043,22.7143,1355289,1450715,5000,180,19,41,3,0.0732,673.45,113.48,96.19,0.2811,9597.38,0,0,0,0,0.0242,0
AUC_1127,1938510485,34,0,490,0.0,490.0,1139385,1301263,1000,180,23,235,15,0.0638,30.63,13.54,11.4,0.7477,1687.95,0,1,1,0,0.6849,1
AUC_1148,1730672516,33,9,101,0.2727,11.2222,1062117,1109737,10000,120,24,120,4,0.0333,294.97,85.84,73.86,0.5299,17104.18,0,0,0,0,0.1328,0
AUC_1038,1214251240,61,18,500,0.2951,27.7778,610696,729133,5000,60,12,112,13,0.1161,393.69,24.92,18.51,0.5258,12965.39,0,0,0,1,0.1754,0
AUC_1281,1596468271,122,0,2402,0.0,2402.0,1921070,2258878,20000,90,20,78,37,0.4744,36.84,3.8,1.39,0.8937,25438.0,1,1,1,0,0.99,1
AUC_1015,1916291612,66,15,571,0.2273,38.0667,590659,651706,1000,30,16,173,10,0.0578,357.31,18.02,2.28,0.5557,1477.55,0,0,1,0,0.0854,0
AUC_1398,1873944567,25,6,101,0.24,16.8333,1783693,1916811,5000,240,13,82,4,0.0488,370.21,192.32,121.75,0.3735,14459.36,0,0,0,0,0.1129,0
AUC_1046,1082390921,35,5,338,0.1429,67.6,424999,451895,20000,120,19,160,8,0.05,927.7,3.56,77.06,0.4871,54190.52,0,1,0,0,0.2054,0
AUC_1225,2574915440,62,2,179,0.0323,89.5,556079,590235,5000,30,15,126,9,0.0714,321.21,20.68,1.44,0.6332,12974.26,0,0,1,1,0.3435,0
AUC_1355,1564982699,101,3,1598,0.0297,532.6667,1528301,1810006,20000,180,23,399,42,0.1053,39.94,12.17,3.03,0.7643,28957.51,1,1,1,0,0.9705,1
AUC_1318,2453331305,139,2,3647,0.0144,1823.5,822800,882835,1000,180,24,76,31,0.4079,118.94,42.59,16.05,0.8767,1475.52,0,0,1,0,0.8083,1
AUC_1025,2130286631,81,0,2053,0.0,2053.0,970597,1080587,1000,180,22,300,26,0.0867,10.57,32.91,19.65,0.9258,1964.52,1,0,1,0,0.9416,1
AUC_1207,1780471362,7,3,59,0.4286,19.6667,1336836,1394950,20000,180,14,215,10,0.0465,50.49,127.62,19.68,0.2861,42336.51,0,0,1,0,0.1614,0
AUC_1204,1741158058,31,14,138,0.4516,9.8571,643586,788196,1000,30,24,336,11,0.0327,331.99,13.7,6.98,0.2044,1816.15,0,0,0,0,0.01,0
AUC_1121,2196072585,8,1,43,0.125,43.0,377025,426620,20000,120,11,175,4,0.0229,486.61,83.11,23.29,0.5027,60141.1,0,0,0,1,0.1359,0
AUC_1011,1829263764,32,2,917,0.0625,458.5,270971,295665,5000,120,21,248,19,0.0766,89.7,29.24,9.36,0.6758,8401.14,0,0,1,0,0.7417,1
AUC_1363,2371028394,50,11,444,0.22,40.3636,1666449,2134259,5000,90,6,43,15,0.3488,496.54,16.61,14.08,0.3727,10822.66,0,0,0,1,0.3268,0
AUC_1374,1458576831,85,2,2102,0.0235,1051.0,635560,718770,20000,60,19,232,18,0.0776,47.12,16.24,1.57,0.9894,27260.63,1,0,1,0,0.7479,1
AUC_1000,1538444007,65,19,499,0.2923,26.2632,510494,560604,5000,180,17,92,3,0.0326,99.19,87.96,1.67,0.502,7247.01,0,0,1,0,0.2334,0
AUC_1215,1181867165,143,6,4509,0.042,751.5,440479,551420,20000,60,15,226,31,0.1372,32.34,15.35,1.87,0.7321,35413.55,1,0,1,0,0.99,1
AUC_1075,1783002448,67,8,294,0.1194,36.75,1726273,1963234,5000,60,4,50,10,0.2,447.33,48.09,0.98,0.3088,6091.1,0,0,1,1,0.1785,0
AUC_1338,1075684096,47,0,1111,0.0,1111.0,1658507,1880754,5000,120,21,306,31,0.1013,44.44,0.44,8.45,0.664,8212.88,1,1,1,0,0.8344,1
AUC_1303,1365146648,27,8,355,0.2963,44.375,946782,1040801,1000,120,21,177,7,0.0395,133.19,48.15,26.25,0.5015,3324.01,0,0,0,0,0.1171,0
AUC_1344,2696670997,15,4,164,0.2667,41.0,586437,719328,10000,240,6,32,15,0.4688,109.41,0.4,62.98,0.4318,24838.46,0,1,0,1,0.2887,0
AUC_1049,2236981239,113,11,2153,0.0973,195.7273,701844,769282,1000,120,20,177,15,0.0847,25.77,2.87,0.34,0.8439,1607.09,0,1,1,0,0.7395,0
AUC_1262,1129568067,42,6,192,0.1429,32.0,874899,985181,10000,60,21,237,4,0.0169,212.51,45.6,15.33,0.2455,19479.66,0,0,0,0,0.1169,0
AUC_1066,2925516150,62,3,456,0.0484,152.0,409687,499250,5000,240,22,179,10,0.0559,118.19,142.96,18.26,0.602,5012.37,0,0,1,0,0.348,0
AUC_1004,2770843551,38,3,301,0.0789,100.3333,427844,528235,10000,180,3,17,4,0.2353,447.38,40.26,62.65,0.1394,42919.61,0,0,0,0,0.2397,0
AUC_1011,1095127952,35,6,170,0.1714,28.3333,1663325,1831217,1000,180,22,353,16,0.0453,365.78,40.49,70.33,0.4884,3056.2,0,0,0,0,0.3066,1
AUC_1386,1858417413,39,3,841,0.0769,280.3333,1662972,2044894,5000,60,6,26,22,0.8462,37.78,15.77,1.67,0.8906,5002.0,1,0,1,0,0.8941,0
AUC_1252,1786282482,23,0,781,0.0,781.0,1252939,1446079,5000,60,18,151,30,0.1987,37.13,4.64,2.09,0.8795,8392.06,1,1,1,0,0.99,1
AUC_1228,1546145549,99,37,538,0.3737,14.5405,1320660,1441331,2000,180,9,69,10,0.1449,147.5,7.56,6.52,0.3671,3329.26,0,1,1,1,0.1572,0
AUC_1220,2594908078,17,1,333,0.0588,333.0,492939,580540,1000,240,4,55,30,0.5455,33.88,35.67,9.27,0.73,1272.36,1,0,1,1,0.99,1
AUC_1332,2860272704,114,10,1347,0.0877,134.7,1012361,1121162,5000,120,10,39,29,0.7436,85.27,23.52,5.11,0.7566,7748.08,0,0,1,0,0.8473,1
AUC_1048,2388896194,32,1,74,0.0312,74.0,853585,930251,5000,60,10,41,1,0.0244,1122.33,11.46,21.28,0.2944,13250.18,0,0,0,0,0.2556,0
AUC_1121,2660814477,22,5,132,0.2273,26.4,682543,780102,1000,120,14,234,6,0.0256,702.72,74.25,25.12,0.4084,1503.17,0,0,0,1,0.2335,0
AUC_1018,1684799704,78,18,724,0.2308,40.2222,294839,319781,1000,240,6,52,14,0.2692,304.24,114.36,60.98,0.2846,1888.46,0,0,0,1,0.3006,1
AUC_1376,2265724933,38,4,277,0.1053,69.25,1213490,1283032,1000,180,24,50,6,0.12,300.24,27.74,65.38,0.281,4085.07,0,0,0,0,0.2935,0
AUC_1158,2202579543,62,0,852,0.0,852.0,1835516,2101081,1000,120,18,196,27,0.1378,18.0,2.25,9.62,0.8566,1880.34,1,1,1,0,0.99,1
AUC_1077,2689483912,84,26,1128,0.3095,43.3846,1600173,1834478,10000,30,19,86,8,0.093,473.9,5.06,5.5,0.5927,31048.34,0,0,0,0,0.1039,1
AUC_1279,1358583783,154,2,3514,0.013,1757.0,742841,851260,2000,30,14,116,41,0.3534,97.01,10.24,2.23,0.8001,3351.66,0,0,1,0,0.8242,1
AUC_1195,2065173764,37,9,94,0.2432,10.4444,545479,600634,2000,30,14,167,2,0.012,276.56,18.49,7.65,0.2522,4437.41,0,0,0,1,0.0654,0
AUC_1080,2198650015,9,1,39,0.1111,39.0,1429904,1529994,5000,60,4,52,10,0.1923,317.61,37.64,4.45,0.508,10454.32,0,0,1,0,0.1614,0
AUC_1031,1439335774,119,53,414,0.4454,7.8113,575069,608027,2000,120,22,270,17,0.063,399.69,2.12,5.37,0.4088,6546.1,0,1,1,0,0.2217,1
AUC_1073,2783447687,7,2,58,0.2857,29.0,921877,974445,10000,120,22,219,3,0.0137,1088.96,17.22,51.47,0.3692,13101.66,0,0,0,0,0.0517,0
AUC_1011,1606441359,75,0,1379,0.0,1379.0,846184,1128883,1000,90,7,27,14,0.5185,39.07,9.09,2.67,0.9173,1132.9,0,1,1,0,0.9253,1
AUC_1276,2790423182,26,0,120,0.0,120.0,1203976,1466994,5000,120,13,223,4,0.0179,62.45,95.23,2.3,0.3232,5038.17,0,0,1,1,0.2891,0
AUC_1003,2854284433,81,14,371,0.1728,26.5,1197272,1328954,10000,180,9,117,4,0.0342,412.88,135.44,18.16,0.211,18941.11,0,0,1,0,0.1367,0
AUC_1269,2565822292,77,17,993,0.2208,58.4118,1567740,1630561,20000,180,22,329,17,0.0517,424.93,32.94,63.3,0.2507,55184.3,0,0,0,0,0.2846,1
AUC_1333,2833718587,30,2,70,0.0667,35.0,1133868,1395791,10000,60,18,236,2,0.0085,739.22,33.6,17.33,0.1991,28116.36,0,0,0,1,0.1253,0
AUC_1331,2829357425,106,40,1089,0.3774,27.225,603091,705995,10000,120,21,113,11,0.0973,406.17,75.72,14.38,0.3222,21822.43,0,0,1,1,0.1894,0
AUC_1217,1729080272,75,14,273,0.1867,19.5,1981063,2202864,5000,120,22,361,6,0.0166,156.39,2.86,7.33,0.3525,15032.32,0,1,1,0,0.1486,0
AUC_1058,1686207277,49,6,347,0.1224,57.8333,1301772,1419414,2000,120,15,111,6,0.0541,50.63,87.82,1.1,0.2917,2238.1,0,0,1,0,0.2897,0
AUC_1238,2730092861,11,0,31,0.0,31.0,1999897,2076568,2000,120,11,114,2,0.0175,269.98,11.81,28.19,0.1773,6609.99,0,1,0,1,0.2086,0
AUC_1300,1944086785,113,22,1392,0.1947,63.2727,1247162,1461737,5000,180,24,122,17,0.1393,159.56,44.96,34.39,0.4607,14491.89,0,0,0,0,0.2188,0
AUC_1166,2746347003,49,2,1398,0.0408,699.0,1401099,1491667,2000,90,12,92,25,0.2717,33.52,15.24,6.54,0.7385,2435.79,1,0,1,1,0.8578,0
AUC_1362,2921549494,4,1,35,0.25,35.0,1654642,2089969,20000,240,7,81,9,0.1111,1182.73,58.83,162.87,0.2753,49443.79,0,0,0,0,0.1092,0
AUC_1342,1291290446,35,1,208,0.0286,208.0,1722795,2058043,5000,120,3,43,4,0.093,553.92,101.37,76.1,0.3805,15394.73,0,0,0,0,0.2825,0
AUC_1353,1554564073,23,9,93,0.3913,10.3333,1636757,1910916,1000,120,14,170,5,0.0294,395.42,84.39,8.11,0.3072,1406.45,0,0,1,1,0.1048,0
AUC_1218,2236287300,74,2,1280,0.027,640.0,1965026,2348816,2000,180,10,91,22,0.2418,39.0,11.92,13.21,0.855,4230.22,1,1,1,0,0.9349,1
AUC_1056,2221790766,15,4,42,0.2667,10.5,738152,844553,5000,30,6,34,8,0.2353,1132.06,20.96,17.85,0.498,17550.57,0,0,0,0,0.1362,0
AUC_1354,2212517061,2,1,17,0.5,17.0,1048757,1100415,1000,180,18,62,8,0.129,438.91,35.55,54.82,0.4616,4266.45,0,0,0,0,0.01,0
AUC_1274,1850669937,28,3,108,0.1071,36.0,50159,52947,5000,120,22,333,8,0.024,433.17,57.46,25.92,0.5126,17890.81,0,0,0,0,0.2252,0
AUC_1240,2915506717,43,15,249,0.3488,16.6,130811,161882,10000,30,7,96,6,0.0625,117.17,11.02,10.48,0.4573,32680.0,0,0,0,1,0.0698,0
AUC_1216,2696444070,97,23,1100,0.2371,47.8261,1701220,1774949,5000,120,11,126,6,0.0476,218.42,74.63,25.22,0.3947,10721.25,0,0,0,0,0.1039,0
AUC_1015,1855750361,10,1,129,0.1,129.0,1220694,1304219,1000,90,10,36,21,0.5833,6.83,18.42,4.21,0.7817,1102.41,1,0,1,0,0.99,1
AUC_1279,2503928250,39,7,494,0.1795,70.5714,729447,842490,10000,240,22,326,17,0.0521,234.96,118.92,46.29,0.3203,15495.13,0,0,0,0,0.1884,0
AUC_1390,2480696384,9,3,25,0.3333,8.3333,1548339,1796273,10000,120,9,115,1,0.0087,774.64,29.7,31.67,0.1685,41682.02,0,0,0,0,0.1462,1
AUC_1311,2315809698,11,0,74,0.0,74.0,933194,1062578,5000,120,12,205,8,0.039,806.83,39.59,62.49,0.217,11695.67,0,0,0,1,0.2882,0
AUC_1004,2387501519,22,5,121,0.2273,24.2,1351893,1548985,2000,120,7,90,3,0.0333,299.01,45.45,31.81,0.1225,7968.09,0,0,0,1,0.0944,0
AUC_1186,2848126655,43,6,401,0.1395,66.8333,763987,843754,10000,30,8,118,16,0.1356,233.89,18.58,11.62,0.3768,31355.55,0,0,0,1,0.17,0
AUC_1341,1584934947,52,26,381,0.5,14.6538,1707153,2125840,5000,180,10,174,6,0.0345,148.32,106.5,28.99,0.1502,14013.83,0,0,0,0,0.1544,0
AUC_1098,1690133413,20,3,126,0.15,42.0,851849,1097042,20000,180,3,16,9,0.5625,162.04,5.51,44.35,0.49,42643.6,0,1,0,1,0.3392,0
AUC_1108,2666974436,15,0,236,0.0,236.0,360001,385067,2000,120,17,228,25,0.1096,34.93,7.45,0.85,0.5776,4257.88,1,1,1,0,0.8197,1
AUC_1289,1064736448,17,1,204,0.0588,204.0,1595541,1799753,1000,30,24,286,15,0.0524,5.35,3.94,2.65,0.5708,1229.34,0,0,1,0,0.7536,1
AUC_1111,1285367545,38,1,429,0.0263,429.0,1418335,1704524,1000,120,19,148,11,0.0743,32.32,21.02,11.43,0.567,1318.39,0,0,1,0,0.7194,1
AUC_1087,2765069680,89,3,2221,0.0337,740.3333,1838380,2254290,1000,30,11,51,34,0.6667,104.51,7.36,4.36,0.8467,1757.67,0,0,0,0,0.99,1
AUC_1077,2016372580,41,4,567,0.0976,141.75,1753924,2287279,5000,240,21,43,17,0.3953,86.1,13.6,25.33,0.9073,8385.76,0,1,1,0,0.8767,1
AUC_1082,1137004405,66,0,445,0.0,445.0,204692,249330,1000,90,16,115,25,0.2174,16.67,18.29,0.65,0.6322,1457.73,1,0,1,1,0.74,1
AUC_1247,2719887990,83,1,2161,0.012,2161.0,1947883,2371253,5000,60,7,116,34,0.2931,42.66,5.2,2.86,0.7004,6026.66,1,1,1,0,0.9877,1
AUC_1019,1853232141,92,0,1479,0.0,1479.0,1788446,2172011,5000,180,8,31,19,0.6129,45.79,17.08,21.52,0.9531,8786.93,1,1,1,0,0.9819,0
AUC_1355,2800360832,120,5,1135,0.0417,227.0,651160,858467,10000,240,6,50,20,0.4,16.36,0.5,12.49,0.6352,17483.84,1,1,1,1,0.9273,1
AUC_1167,1046308417,47,2,713,0.0426,356.5,1388306,1598109,2000,90,20,130,30,0.2308,35.31,19.91,4.14,0.7875,2566.61,1,0,1,0,0.7848,1
AUC_1344,1005481741,44,3,201,0.0682,67.0,1162186,1207531,10000,120,13,160,6,0.0375,363.59,72.2,10.8,0.5818,21976.91,0,0,1,0,0.2419,0
AUC_1384,2544094162,73,0,341,0.0,341.0,1769890,2190531,1000,180,22,345,9,0.0261,271.35,90.53,24.06,0.1921,2745.27,0,0,0,1,0.2673,0
AUC_1294,2004852265,80,22,573,0.275,26.0455,835833,880137,20000,120,7,125,10,0.08,55.3,63.31,9.92,0.3761,48877.17,0,0,1,0,0.3116,0
AUC_1288,2092992318,19,5,180,0.2632,36.0,1059869,1268373,1000,60,13,200,8,0.04,785.6,28.4,22.72,0.293,2984.99,0,0,0,0,0.1631,0
AUC_1092,2046790649,57,0,354,0.0,354.0,211081,216377,5000,240,9,161,2,0.0124,392.92,180.95,17.63,0.6371,7219.0,0,0,1,1,0.3869,1
AUC_1117,1622182487,36,9,311,0.25,34.5556,1926161,2495170,1000,30,18,55,14,0.2545,386.96,16.53,6.82,0.6418,2126.2,0,0,0,0,0.2893,0
AUC_1319,2633910817,72,13,583,0.1806,44.8462,1775575,1945065,5000,120,6,106,12,0.1132,358.09,59.16,3.07,0.2933,13915.45,0,0,1,0,0.1738,0
AUC_1291,2445995778,14,3,38,0.2143,12.6667,248237,293460,20000,60,4,69,2,0.029,283.87,25.81,4.79,0.3979,58339.91,0,0,1,0,0.1217,0
AUC_1172,2493659643,115,33,548,0.287,16.6061,424743,528132,1000,120,8,20,6,0.3,250.23,2.43,14.24,0.2152,3197.96,0,1,1,0,0.0936,0
AUC_1103,1511705539,139,12,3016,0.0863,251.3333,1602734,1658065,1000,30,5,54,17,0.3148,9.84,2.7,2.82,0.8151,1312.78,0,1,1,0,0.8771,1
AUC_1182,1922449283,75,19,889,0.2533,46.7895,1764858,2008214,10000,240,21,92,9,0.0978,310.57,135.47,39.38,0.3672,25463.18,0,0,0,1,0.1409,0
AUC_1188,2651764468,84,3,2518,0.0357,839.3333,1707289,1771498,5000,120,11,135,21,0.1556,88.16,19.12,16.03,0.9431,5678.91,0,0,0,0,0.6944,1
AUC_1165,1791405135,36,3,295,0.0833,98.3333,831163,1091254,2000,120,10,69,22,0.3188,26.93,27.47,8.87,0.6936,3381.36,1,0,1,0,0.809,0
AUC_1292,2068743646,29,2,68,0.069,34.0,85903,96618,20000,90,19,89,2,0.0225,196.72,16.13,24.85,0.3111,41725.1,0,0,0,0,0.1136,0
AUC_1235,2677796033,38,7,353,0.1842,50.4286,1290579,1362085,1000,60,24,175,2,0.0114,1015.66,36.04,29.37,0.1702,2779.04,0,0,0,1,0.0961,0
AUC_1312,1947185812,93,23,1127,0.2473,49.0,1710302,2114972,1000,240,19,75,14,0.1867,473.78,2.47,52.48,0.4119,2640.14,0,1,0,0,0.1991,0
AUC_1195,1870045289,86,34,1102,0.3953,32.4118,1486803,1842219,20000,180,24,273,16,0.0586,122.14,66.79,16.27,0.3254,30935.49,0,0,1,0,0.0129,0
AUC_1393,1043884936,42,1,359,0.0238,359.0,759132,784544,5000,120,6,102,4,0.0392,930.29,15.51,48.25,0.258,7547.31,0,0,0,0,0.3436,0
AUC_1228,1861510611,74,0,1675,0.0,1675.0,900525,1029944,2000,60,23,358,32,0.0894,78.43,19.12,6.12,0.8254,2080.39,0,0,1,0,0.7341,0
AUC_1236,2887707926,29,4,142,0.1379,35.5,1476912,1608773,2000,60,19,270,8,0.0296,1123.48,19.75,11.18,0.1086,7857.27,0,0,0,0,0.1148,0
AUC_1103,1605275156,63,17,864,0.2698,50.8235,1327507,1461323,2000,120,22,295,15,0.0508,260.47,52.89,27.16,0.3561,4178.22,0,0,0,1,0.1172,0
AUC_1207,2358776812,123,1,1381,0.0081,1381.0,1306425,1481944,20000,60,24,222,18,0.0811,24.4,19.77,9.41,0.8118,33839.4,1,0,0,0,0.7443,1
AUC_1182,2058129483,111,50,1499,0.4505,29.98,63780,66250,10000,180,24,160,15,0.0938,191.97,69.74,33.27,0.274,12914.58,0,0,0,0,0.0687,0
AUC_1191,1719830764,63,12,483,0.1905,40.25,541830,663571,2000,60,23,377,6,0.0159,76.89,42.41,7.98,0.1678,4634.87,0,0,0,0,0.158,0
AUC_1219,2869471638,1,0,5,0.0,5.0,1971575,2163019,20000,180,24,320,6,0.0187,1089.56,114.01,34.57,0.5031,76399.34,0,0,0,0,0.1227,0
AUC_1238,2504725459,26,3,185,0.1154,61.6667,1907561,2039783,20000,180,4,52,6,0.1154,826.49,94.74,59.88,0.5176,79760.91,0,0,0,0,0.01,0
AUC_1099,1977061023,4,1,34,0.25,34.0,1198836,1297867,1000,90,16,202,4,0.0198,572.72,12.87,57.03,0.3507,1963.56,0,0,0,0,0.0754,0
AUC_1285,2511446164,37,9,398,0.2432,44.2222,875963,1027831,2000,30,16,154,15,0.0974,431.45,9.44,6.46,0.3388,4865.21,0,0,0,0,0.1022,0
AUC_1336,1245752503,17,2,110,0.1176,55.0,1345308,1520896,20000,90,13,200,17,0.085,350.18,40.25,5.92,0.6223,29059.16,0,0,1,1,0.2375,0
AUC_1073,2989688231,100,18,802,0.18,44.5556,1210714,1512256,10000,30,13,43,6,0.1395,161.85,16.93,11.16,0.3888,11265.56,0,0,0,0,0.139,0
AUC_1238,2936519766,57,23,233,0.4035,10.1304,1865419,2038437,5000,120,10,95,6,0.0632,159.47,63.75,44.83,0.2429,10625.73,0,0,0,0,0.1071,0
AUC_1398,2329446338,30,1,269,0.0333,269.0,53969,57909,5000,90,6,65,27,0.4154,35.68,18.06,2.66,0.9709,6724.09,1,0,1,0,0.99,1
AUC_1147,1311436459,23,1,278,0.0435,278.0,801393,930831,1000,30,14,122,21,0.1721,17.62,1.27,1.27,0.8894,1507.08,1,1,1,0,0.7681,1
AUC_1301,1470643691,72,6,1636,0.0833,272.6667,1187888,1320944,5000,60,19,232,19,0.0819,32.7,10.84,3.07,0.5744,6726.99,1,0,1,0,0.697,1
AUC_1315,2358997078,123,5,1168,0.0407,233.6,1651956,1879162,10000,120,17,109,34,0.3119,65.51,3.4,14.36,0.6697,15941.42,1,1,1,0,0.7999,1
AUC_1385,1814367494,12,3,68,0.25,22.6667,1775089,2201142,20000,120,16,179,4,0.0223,904.99,80.05,83.63,0.3725,44320.5,0,0,0,1,0.252,0
AUC_1148,2265066085,23,7,168,0.3043,24.0,1729108,2160335,1000,240,4,20,1,0.05,134.72,65.84,109.18,0.1667,1503.93,0,0,0,1,0.0761,0
AUC_1218,1760366575,69,0,474,0.0,474.0,930147,1074518,5000,180,5,85,3,0.0353,319.0,136.68,10.21,0.2233,11323.96,0,0,1,0,0.2252,0
AUC_1172,1853452737,62,0,1543,0.0,1543.0,204226,228897,5000,240,18,189,22,0.1164,21.29,4.79,5.06,0.855,7177.38,1,1,1,0,0.838,1
